epoch,accuracy,loss,val_accuracy,val_loss
0,0.6416525840759277,0.654496431350708,0.7037037014961243,0.5955331921577454
1,0.8022765517234802,0.47625768184661865,0.7626262903213501,0.5032824277877808
2,0.8625632524490356,0.33508676290512085,0.7643097639083862,0.5168485045433044
3,0.9000843167304993,0.2541006803512573,0.7744107842445374,0.5504434704780579
4,0.9258010387420654,0.1930205225944519,0.7676767706871033,0.6203057169914246
5,0.9498313665390015,0.15018464624881744,0.7542087435722351,0.6879977583885193
6,0.9616357684135437,0.10982068628072739,0.7424242496490479,0.7432729601860046
7,0.9780775904655457,0.07672787457704544,0.744107723236084,0.8503769636154175
8,0.9844013452529907,0.05705302581191063,0.752525269985199,0.9123760461807251
9,0.9894603490829468,0.04107910767197609,0.7542087435722351,0.9886289834976196
10,0.9903035163879395,0.032310087233781815,0.7457912564277649,1.0633950233459473
11,0.9936762452125549,0.02340896986424923,0.7306397557258606,1.2018975019454956
12,0.994940996170044,0.018818926066160202,0.7491582632064819,1.1897302865982056
13,0.9940978288650513,0.017312664538621902,0.747474730014801,1.262895941734314
14,0.9945194125175476,0.015566383488476276,0.7457912564277649,1.2906160354614258
15,0.994940996170044,0.01327105239033699,0.7457912564277649,1.3348554372787476
16,0.996205747127533,0.011366712860763073,0.7407407164573669,1.4259889125823975
17,0.9970489144325256,0.011408955790102482,0.7373737096786499,1.4519970417022705
18,0.9970489144325256,0.010186834260821342,0.7340067625045776,1.4406474828720093
19,0.996205747127533,0.010923866182565689,0.7356902360916138,1.4957879781723022
20,0.996205747127533,0.00901660043746233,0.7356902360916138,1.5360710620880127
21,0.9966273307800293,0.008366793394088745,0.7323232293128967,1.5305925607681274
22,0.9966273307800293,0.008085432462394238,0.7390572428703308,1.531369924545288
23,0.997470498085022,0.007906625047326088,0.7390572428703308,1.5591599941253662
24,0.997470498085022,0.008297169581055641,0.7323232293128967,1.567414402961731
